Timestamp,Age group , Which fast food chains do you visit most often?, Favorite cafe chain for coffee/tea?,How often do you eat at fast food chains/cafes?,Do you prefer online delivery or offline dining?,Preferred fast food delivery app?,Average order value range (Fast food chains / Cafes),Typical Time of ordering,"Thank you for participating in this survey!
Your valuable responses will help us understand food consumption behavior and emerging delivery trends as part of our academic research project.

We truly appreciate your time and support. 😊",Email Address
4/8/2026 14:25:37,Above 30,Taco Bell,Cafe Coffee Day (CCD),3-5 times a week,Mostly online delivery,Direct from restaurant app,₹200-500,Lunch,no comment,
4/8/2026 14:25:40,Above 30,Pizza Hut,Cafe Coffee Day (CCD),Rarely,Mostly offline,Magicpin,1000+,Lunch,Great job guys! The superb delivery speed! Keep it up!,
4/8/2026 14:25:46,Above 30,Wendy's,Chaayos,2-3 times a month,50-50 both,Swiggy,"₹500-1,000",Evening snacks,nothing,
4/8/2026 14:25:47,18-21,KFC,Chaayos,3-5 times a week,50-50 both,Zomato,₹200-500,Evening snacks,good,
4/8/2026 14:25:59,Above 30,Burger King,Local cafes,2-3 times a month,Mostly offline,Zomato,"₹500-1,000",Night,,
4/8/2026 14:26:03,18-21,Subway,Local cafes,Daily,Mostly offline,Direct from restaurant app,₹200-500,Evening snacks,I really love this service! The excellent delivery speed. Very satisfied.,
4/8/2026 14:26:09,Above 30,Wendy's,Starbucks,Weekly,Mostly online delivery,Zomato,1000+,Lunch,all good,
4/8/2026 14:26:09,Under 18,Local fast food joints,Starbucks,3-5 times a week,Mostly offline,Direct from restaurant app,₹200-500,Lunch,,
4/8/2026 14:26:21,26-30,Local fast food joints,Cafe Coffee Day (CCD),Daily,50-50 both,Zomato,"₹500-1,000",Lunch,So far so good! The excellent overall delivery experience. Looking forward to more.,
4/8/2026 14:26:31,21-25,Subway,Tim Hortons,2-3 times a month,Mostly offline,Direct from restaurant app,₹200-500,Night,I'm very impressed. The brilliant app design. Thank you!,
4/8/2026 14:26:32,Above 30,Wendy's,Costa Coffee,3-5 times a week,50-50 both,Magicpin,1000+,Breakfast,,
4/8/2026 14:26:46,18-21,Taco Bell,Starbucks,2-3 times a month,Mostly online delivery,Zepto Cafe,₹200-500,Night,Great job guys! The fantastic restaurant selection. 5/5 stars from me.,
4/8/2026 14:26:56,18-21,Wendy's,Tim Hortons,3-5 times a week,Mostly offline,Magicpin,1000+,Lunch,good,
4/8/2026 14:27:00,Above 30,Taco Bell,Chaayos,Daily,Mostly online delivery,Zomato,₹200-500,Lunch,perfect,
4/8/2026 14:27:04,26-30,Pizza Hut,Tim Hortons,2-3 times a month,Mostly offline,Zepto Cafe,₹200-500,Night,cool,
4/8/2026 14:27:14,21-25,Pizza Hut,Barista,2-3 times a month,Mostly offline,Zepto Cafe,"₹500-1,000",Evening snacks,"I usually don't leave feedback, but The outstanding restaurant selection. Looking forward to more.",
4/8/2026 14:27:29,Above 30,Taco Bell,Local cafes,Daily,50-50 both,Swiggy,1000+,Night,nice,
4/8/2026 14:27:37,26-30,KFC,Costa Coffee,3-5 times a week,Mostly offline,Direct from restaurant app,₹200-500,Evening snacks,not bad,
4/8/2026 14:27:39,26-30,Local fast food joints,Cafe Coffee Day (CCD),Weekly,Mostly online delivery,Direct from restaurant app,1000+,Lunch,"Wow, this is great. The outstanding service reliability. Best I've used so far.",
4/8/2026 14:28:38,Above 30,Wendy's,Local cafes,Rarely,50-50 both,Magicpin,"₹500-1,000",Evening snacks,nice app,
4/8/2026 14:28:44,Above 30,McDonalds,Costa Coffee,Daily,Mostly offline,Zomato,1000+,Breakfast,"I usually don't leave feedback, but The wonderful user interface",
4/8/2026 14:28:57,26-30,Pizza Hut,Tim Hortons,3-5 times a week,Mostly online delivery,Magicpin,₹200-500,Breakfast,,
4/8/2026 14:29:00,18-21,Local fast food joints,Barista,2-3 times a month,Mostly online delivery,Swiggy,1000+,Evening snacks,Absolutely fantastic experience. The fantastic app design. Highly recommended.,
4/8/2026 14:29:00,18-21,Burger King,Local cafes,3-5 times a week,Mostly offline,Swiggy,"₹500-1,000",Night,This has been an amazing journey! The outstanding restaurant selection. Highly recommended.,
4/8/2026 14:29:05,26-30,KFC,Chaayos,Daily,Mostly offline,Zepto Cafe,"₹500-1,000",Evening snacks,,
4/8/2026 14:29:17,Above 30,Burger King,Chaayos,Weekly,50-50 both,Magicpin,₹200-500,Evening snacks,"I usually don't leave feedback, but The top-notch app design. Best I've used so far.",
4/8/2026 14:29:20,Above 30,KFC,Chaayos,Rarely,50-50 both,Zepto Cafe,1000+,Evening snacks,nothing,
4/8/2026 14:29:20,21-25,Dominos,Cafe Coffee Day (CCD),3-5 times a week,50-50 both,Zepto Cafe,1000+,Lunch,Great job guys! The really good overall delivery experience,
4/8/2026 14:29:26,21-25,Dominos,Local cafes,Weekly,50-50 both,Zepto Cafe,1000+,Lunch,cool,
4/8/2026 14:29:39,18-21,Wendy's,Chaayos,3-5 times a week,Mostly offline,Direct from restaurant app,"₹500-1,000",Breakfast,Absolutely fantastic experience. The top-notch customer support! Keep it up!,
4/8/2026 14:29:40,Under 18,Taco Bell,Local cafes,3-5 times a week,50-50 both,Swiggy,1000+,Evening snacks,Absolutely fantastic experience. The top-notch ease of ordering. Thank you!,
4/8/2026 14:29:45,Above 30,Subway,Costa Coffee,Weekly,Mostly online delivery,Swiggy,₹200-500,Night,Absolutely fantastic experience. The brilliant restaurant selection,
4/8/2026 14:29:57,26-30,Local fast food joints,Chaayos,Rarely,50-50 both,Zepto Cafe,"₹500-1,000",Lunch,,
4/8/2026 14:29:58,26-30,Taco Bell,Barista,2-3 times a month,Mostly online delivery,Magicpin,₹200-500,Lunch,,
4/8/2026 14:30:05,18-21,McDonalds,Chaayos,Rarely,Mostly offline,Direct from restaurant app,1000+,Evening snacks,perfect,
4/8/2026 14:30:17,Above 30,Pizza Hut,Local cafes,Daily,50-50 both,Zepto Cafe,1000+,Evening snacks,Absolutely fantastic experience. The amazing overall delivery experience. Looking forward to more.,
4/8/2026 14:30:17,18-21,Taco Bell,Barista,Weekly,Mostly offline,Swiggy,"₹500-1,000",Night,decent,
4/8/2026 14:30:23,21-25,Local fast food joints,Local cafes,Rarely,50-50 both,Zomato,₹200-500,Night,"Wow, this is great. The really good overall delivery experience. Thank you!",
4/8/2026 14:30:25,Under 18,McDonalds,Cafe Coffee Day (CCD),2-3 times a month,Mostly online delivery,Zomato,1000+,Lunch,Really excellent ease of ordering. Thank you!,
4/8/2026 14:30:36,18-21,Dominos,Barista,3-5 times a week,Mostly offline,Zomato,"₹500-1,000",Breakfast,"Wow, this is great. The brilliant real-time order tracking! Keep it up!",
4/8/2026 14:30:37,26-30,Subway,Barista,Rarely,Mostly offline,Zepto Cafe,1000+,Breakfast,I really love this service! The stellar overall delivery experience. Best I've used so far.,
4/8/2026 14:30:42,21-25,Subway,Barista,Daily,Mostly offline,Zomato,₹200-500,Lunch,great,
4/8/2026 14:30:45,Above 30,Dominos,Starbucks,Weekly,Mostly online delivery,Zepto Cafe,1000+,Lunch,all good,
4/8/2026 14:30:55,Above 30,Subway,Chaayos,Daily,Mostly offline,Zomato,1000+,Breakfast,"Wow, this is great. The outstanding user interface. Very satisfied.",
4/8/2026 14:30:57,Under 18,Pizza Hut,Starbucks,Weekly,50-50 both,Zomato,1000+,Evening snacks,"Wow, this is great. The excellent delivery speed. Will definitely order again.",
4/8/2026 14:31:01,18-21,KFC,Costa Coffee,Rarely,Mostly online delivery,Zepto Cafe,₹200-500,Lunch,decent,
4/8/2026 14:31:15,18-21,Wendy's,Tim Hortons,2-3 times a month,Mostly online delivery,Direct from restaurant app,1000+,Breakfast,,
4/8/2026 14:31:15,26-30,Subway,Chaayos,Weekly,50-50 both,Swiggy,"₹500-1,000",Evening snacks,perfect,
4/8/2026 14:31:20,Under 18,Dominos,Barista,Weekly,Mostly online delivery,Zepto Cafe,1000+,Breakfast,This has been an amazing journey! The fantastic overall delivery experience! Keep it up!,
4/8/2026 14:31:29,26-30,Dominos,Costa Coffee,Daily,50-50 both,Direct from restaurant app,1000+,Breakfast,So far so good! The excellent service reliability. 5/5 stars from me.,
4/8/2026 14:31:36,26-30,Burger King,Cafe Coffee Day (CCD),2-3 times a month,Mostly online delivery,Zomato,1000+,Lunch,great,
4/8/2026 14:31:38,21-25,McDonalds,Tim Hortons,Rarely,50-50 both,Magicpin,"₹500-1,000",Breakfast,,
4/8/2026 14:31:42,Above 30,KFC,Barista,Weekly,Mostly online delivery,Direct from restaurant app,"₹500-1,000",Evening snacks,So far so good! The excellent service reliability. Highly recommended.,
4/8/2026 14:31:50,26-30,Subway,Starbucks,Weekly,50-50 both,Zepto Cafe,1000+,Evening snacks,,
4/8/2026 14:31:55,21-25,Taco Bell,Chaayos,3-5 times a week,50-50 both,Magicpin,1000+,Breakfast,,
4/8/2026 14:31:59,Above 30,KFC,Chaayos,2-3 times a month,Mostly online delivery,Zepto Cafe,"₹500-1,000",Night,awesome,
4/8/2026 14:32:02,21-25,Wendy's,Barista,3-5 times a week,Mostly online delivery,Zepto Cafe,1000+,Evening snacks,looks good,
4/8/2026 14:32:11,Above 30,Pizza Hut,Tim Hortons,Daily,Mostly online delivery,Magicpin,"₹500-1,000",Lunch,"Wow, this is great. The top-notch overall delivery experience",
4/8/2026 14:32:16,Under 18,Dominos,Costa Coffee,3-5 times a week,Mostly online delivery,Magicpin,"₹500-1,000",Night,Absolutely fantastic experience. The excellent user interface! Keep it up!,
4/8/2026 14:32:18,Under 18,McDonalds,Starbucks,Weekly,Mostly offline,Zomato,₹200-500,Night,Great job guys! The fantastic delivery speed,
4/8/2026 14:32:20,Under 18,McDonalds,Barista,3-5 times a week,50-50 both,Zepto Cafe,1000+,Evening snacks,,
4/8/2026 14:32:30,26-30,Pizza Hut,Tim Hortons,2-3 times a month,Mostly online delivery,Zomato,₹200-500,Evening snacks,"Just wanted to say, The top-notch ease of ordering. Looking forward to more.",
4/8/2026 14:32:34,Above 30,Taco Bell,Chaayos,2-3 times a month,50-50 both,Zepto Cafe,1000+,Breakfast,,
4/8/2026 14:32:37,Under 18,Dominos,Starbucks,3-5 times a week,50-50 both,Magicpin,1000+,Lunch,all good,
4/8/2026 14:32:39,26-30,Subway,Costa Coffee,Weekly,Mostly offline,Swiggy,1000+,Breakfast,fast,
4/8/2026 14:32:50,Under 18,Local fast food joints,Starbucks,Rarely,Mostly offline,Direct from restaurant app,"₹500-1,000",Evening snacks,no comment,
4/8/2026 14:32:53,Above 30,KFC,Local cafes,Weekly,Mostly online delivery,Zomato,1000+,Evening snacks,none,
4/8/2026 14:32:57,26-30,Burger King,Tim Hortons,2-3 times a month,Mostly offline,Swiggy,₹200-500,Breakfast,I'm very impressed. The top-notch app design. Looking forward to more.,
4/8/2026 14:32:58,Above 30,Burger King,Barista,Weekly,Mostly offline,Zepto Cafe,"₹500-1,000",Breakfast,,
4/8/2026 14:33:08,Above 30,Wendy's,Chaayos,2-3 times a month,50-50 both,Zepto Cafe,"₹500-1,000",Breakfast,cool,
4/8/2026 14:33:11,Under 18,Wendy's,Starbucks,Daily,Mostly online delivery,Zepto Cafe,1000+,Breakfast,not bad,
4/8/2026 14:33:15,Under 18,Pizza Hut,Chaayos,Weekly,50-50 both,Swiggy,"₹500-1,000",Lunch,,
4/8/2026 14:33:16,18-21,Wendy's,Barista,Rarely,50-50 both,Swiggy,1000+,Lunch,Great job guys! The awesome app design. Thank you!,
4/8/2026 14:33:26,26-30,Subway,Costa Coffee,Rarely,Mostly online delivery,Zepto Cafe,₹200-500,Night,Great job guys! The flawless ease of ordering. Looking forward to more.,
4/8/2026 14:33:33,Above 30,Burger King,Local cafes,Rarely,50-50 both,Magicpin,"₹500-1,000",Breakfast,perfect,
4/8/2026 14:33:36,21-25,Subway,Tim Hortons,3-5 times a week,Mostly online delivery,Direct from restaurant app,"₹500-1,000",Lunch,Really fantastic app design. Highly recommended.,
4/8/2026 14:33:43,18-21,Taco Bell,Barista,Weekly,50-50 both,Swiggy,₹200-500,Evening snacks,"Just wanted to say, The perfect user interface. Thank you!",
4/8/2026 14:33:52,21-25,Pizza Hut,Local cafes,Daily,Mostly offline,Swiggy,₹200-500,Lunch,fine,
4/8/2026 14:33:52,18-21,Burger King,Barista,Rarely,Mostly offline,Direct from restaurant app,1000+,Night,all good,
4/8/2026 14:33:57,Above 30,Pizza Hut,Chaayos,2-3 times a month,Mostly offline,Swiggy,1000+,Evening snacks,"Just wanted to say, The stellar overall delivery experience. Best I've used so far.",
4/8/2026 14:34:01,Under 18,Wendy's,Cafe Coffee Day (CCD),2-3 times a month,Mostly online delivery,Zepto Cafe,₹200-500,Lunch,"I usually don't leave feedback, but The outstanding customer support. Looking forward to more.",
4/8/2026 14:34:11,26-30,Burger King,Starbucks,2-3 times a month,Mostly online delivery,Zomato,₹200-500,Night,"I usually don't leave feedback, but The brilliant service reliability",
4/8/2026 14:34:16,Under 18,Wendy's,Chaayos,Rarely,Mostly online delivery,Zepto Cafe,1000+,Evening snacks,"Wow, this is great. The superb overall delivery experience. Very satisfied.",
4/8/2026 14:34:20,18-21,Taco Bell,Costa Coffee,Rarely,Mostly offline,Zepto Cafe,1000+,Evening snacks,This has been an amazing journey! The flawless user interface,
4/8/2026 14:34:21,Above 30,Burger King,Cafe Coffee Day (CCD),2-3 times a month,Mostly offline,Swiggy,"₹500-1,000",Lunch,perfect,
4/8/2026 14:34:30,Under 18,KFC,Costa Coffee,Daily,50-50 both,Zomato,"₹500-1,000",Lunch,,
4/8/2026 14:34:39,Above 30,KFC,Local cafes,Rarely,50-50 both,Magicpin,₹200-500,Night,I'm very impressed. The outstanding customer support. Highly recommended.,
4/8/2026 14:34:39,21-25,Taco Bell,Chaayos,3-5 times a week,Mostly online delivery,Zepto Cafe,1000+,Night,Really wonderful ease of ordering. 5/5 stars from me.,
4/8/2026 14:34:42,21-25,Pizza Hut,Chaayos,2-3 times a month,Mostly online delivery,Zepto Cafe,1000+,Lunch,decent,
4/8/2026 14:34:50,18-21,Wendy's,Starbucks,Weekly,Mostly online delivery,Direct from restaurant app,₹200-500,Night,Really stellar user interface,
4/8/2026 14:34:59,18-21,Burger King,Tim Hortons,Rarely,Mostly online delivery,Zomato,₹200-500,Night,not bad,
4/8/2026 14:34:59,Under 18,Dominos,Tim Hortons,Rarely,50-50 both,Swiggy,1000+,Lunch,,
4/8/2026 14:35:10,18-21,KFC,Tim Hortons,3-5 times a week,50-50 both,Direct from restaurant app,"₹500-1,000",Evening snacks,good,
4/8/2026 14:35:17,Under 18,Dominos,Cafe Coffee Day (CCD),Rarely,Mostly online delivery,Magicpin,₹200-500,Lunch,I'm very impressed. The wonderful real-time order tracking. Best I've used so far.,
4/8/2026 14:35:21,18-21,McDonalds,Tim Hortons,Weekly,Mostly online delivery,Zomato,₹200-500,Night,fast,
4/8/2026 14:35:27,21-25,Pizza Hut,Starbucks,Rarely,Mostly offline,Magicpin,1000+,Evening snacks,,
4/8/2026 14:35:29,18-21,Taco Bell,Local cafes,2-3 times a month,Mostly offline,Swiggy,"₹500-1,000",Breakfast,Really flawless delivery speed. Very satisfied.,
4/8/2026 14:35:36,21-25,KFC,Starbucks,Weekly,50-50 both,Direct from restaurant app,"₹500-1,000",Lunch,Great job guys! The outstanding user interface. Looking forward to more.,
4/8/2026 14:35:40,21-25,Dominos,Cafe Coffee Day (CCD),Rarely,Mostly online delivery,Magicpin,1000+,Night,,
4/8/2026 14:35:47,26-30,Dominos,Costa Coffee,Weekly,Mostly offline,Zepto Cafe,"₹500-1,000",Lunch,"Just wanted to say, The really good user interface. Looking forward to more.",
4/8/2026 14:35:49,21-25,Wendy's,Costa Coffee,Rarely,50-50 both,Zomato,"₹500-1,000",Evening snacks,This has been an amazing journey! The superb overall delivery experience. 5/5 stars from me.,
4/8/2026 14:36:00,21-25,Taco Bell,Starbucks,Weekly,50-50 both,Magicpin,₹200-500,Breakfast,good,
4/8/2026 14:36:07,18-21,Dominos,Cafe Coffee Day (CCD),2-3 times a month,Mostly offline,Direct from restaurant app,"₹500-1,000",Lunch,I really love this service! The outstanding real-time order tracking. Will definitely order again.,
4/8/2026 14:36:18,18-21,Wendy's,Costa Coffee,Rarely,Mostly offline,Swiggy,₹200-500,Evening snacks,I'm very impressed. The excellent delivery speed. Highly recommended.,
4/8/2026 14:36:20,26-30,McDonalds,Cafe Coffee Day (CCD),Daily,Mostly online delivery,Swiggy,₹200-500,Breakfast,perfect,
4/8/2026 14:36:32,21-25,Burger King,Local cafes,Rarely,50-50 both,Magicpin,1000+,Breakfast,"Wow, this is great. The top-notch app design. 5/5 stars from me.",
4/8/2026 14:36:37,Under 18,Dominos,Tim Hortons,Daily,Mostly offline,Swiggy,"₹500-1,000",Breakfast,awesome,
4/8/2026 14:36:40,21-25,Burger King,Tim Hortons,2-3 times a month,Mostly online delivery,Zomato,"₹500-1,000",Night,This has been an amazing journey! The amazing real-time order tracking. Will definitely order again.,
4/8/2026 14:36:52,Under 18,McDonalds,Tim Hortons,Daily,Mostly online delivery,Magicpin,₹200-500,Night,fine,
4/8/2026 14:36:56,18-21,Taco Bell,Local cafes,Rarely,Mostly online delivery,Zepto Cafe,1000+,Evening snacks,okay,
4/8/2026 14:37:00,18-21,Burger King,Starbucks,3-5 times a week,Mostly online delivery,Magicpin,1000+,Lunch,fast,
4/8/2026 14:37:12,18-21,Local fast food joints,Barista,Rarely,Mostly offline,Direct from restaurant app,₹200-500,Lunch,nice app,
4/8/2026 14:37:13,Above 30,McDonalds,Local cafes,3-5 times a week,50-50 both,Swiggy,₹200-500,Lunch,"Wow, this is great. The awesome overall delivery experience. Will definitely order again.",
4/8/2026 14:37:17,Under 18,Dominos,Starbucks,3-5 times a week,50-50 both,Magicpin,₹200-500,Evening snacks,Really flawless real-time order tracking! Keep it up!,
4/8/2026 14:37:20,Above 30,McDonalds,Local cafes,Daily,50-50 both,Zepto Cafe,1000+,Lunch,,
4/8/2026 14:37:32,18-21,Dominos,Cafe Coffee Day (CCD),2-3 times a month,50-50 both,Direct from restaurant app,₹200-500,Lunch,"Just wanted to say, The perfect customer support. Looking forward to more.",
4/8/2026 14:37:34,Under 18,Dominos,Costa Coffee,3-5 times a week,Mostly offline,Zepto Cafe,₹200-500,Breakfast,I really love this service! The great app design! Keep it up!,
4/8/2026 14:37:38,Under 18,Wendy's,Chaayos,3-5 times a week,Mostly online delivery,Swiggy,"₹500-1,000",Breakfast,Really perfect ease of ordering. Will definitely order again.,
4/8/2026 14:37:40,Under 18,Pizza Hut,Chaayos,3-5 times a week,Mostly online delivery,Swiggy,"₹500-1,000",Night,"Just wanted to say, The amazing real-time order tracking! Keep it up!",
4/8/2026 14:37:52,18-21,McDonalds,Starbucks,2-3 times a month,Mostly offline,Swiggy,"₹500-1,000",Lunch,fine,
4/8/2026 14:37:55,18-21,KFC,Cafe Coffee Day (CCD),3-5 times a week,50-50 both,Direct from restaurant app,1000+,Night,I'm very impressed. The great app design. Thank you!,
4/8/2026 14:37:58,Above 30,Local fast food joints,Local cafes,Weekly,50-50 both,Direct from restaurant app,"₹500-1,000",Night,So far so good! The awesome overall delivery experience,
4/8/2026 14:38:01,Under 18,KFC,Barista,3-5 times a week,Mostly online delivery,Zepto Cafe,₹200-500,Night,good,
4/8/2026 14:38:13,26-30,Taco Bell,Starbucks,Daily,Mostly offline,Zepto Cafe,1000+,Night,looks good,
4/8/2026 14:38:16,Under 18,Burger King,Tim Hortons,Rarely,Mostly offline,Direct from restaurant app,"₹500-1,000",Breakfast,fast,
4/8/2026 14:38:17,18-21,Wendy's,Local cafes,2-3 times a month,Mostly online delivery,Swiggy,1000+,Evening snacks,Great job guys! The flawless overall delivery experience. Thank you!,
4/8/2026 14:38:21,26-30,Subway,Costa Coffee,3-5 times a week,50-50 both,Zepto Cafe,"₹500-1,000",Evening snacks,"Wow, this is great. The fast and reliable app design. Best I've used so far.",
4/8/2026 14:38:34,18-21,Dominos,Starbucks,Rarely,50-50 both,Direct from restaurant app,1000+,Breakfast,"Just wanted to say, The fantastic real-time order tracking. Highly recommended.",
4/8/2026 14:38:38,Above 30,Dominos,Barista,2-3 times a month,Mostly online delivery,Direct from restaurant app,"₹500-1,000",Evening snacks,nice,
4/8/2026 14:38:39,18-21,McDonalds,Cafe Coffee Day (CCD),3-5 times a week,50-50 both,Zomato,"₹500-1,000",Breakfast,nice app,
4/8/2026 14:38:41,Above 30,Wendy's,Barista,Rarely,Mostly offline,Magicpin,1000+,Breakfast,awesome,
4/8/2026 14:38:58,Under 18,Pizza Hut,Starbucks,Daily,50-50 both,Swiggy,₹200-500,Evening snacks,nice app,
4/8/2026 14:39:00,26-30,Subway,Chaayos,Rarely,Mostly online delivery,Zepto Cafe,1000+,Night,"Just wanted to say, The stellar customer support! Keep it up!",
4/8/2026 14:39:02,21-25,McDonalds,Starbucks,Weekly,Mostly offline,Direct from restaurant app,1000+,Night,"I usually don't leave feedback, but The amazing real-time order tracking. Thank you!",
4/8/2026 14:39:17,Above 30,Local fast food joints,Chaayos,3-5 times a week,Mostly online delivery,Swiggy,"₹500-1,000",Night,"Just wanted to say, The wonderful overall delivery experience. Thank you!",
4/8/2026 14:39:20,21-25,Burger King,Local cafes,3-5 times a week,50-50 both,Zepto Cafe,1000+,Night,,
4/8/2026 14:39:20,Above 30,KFC,Tim Hortons,3-5 times a week,Mostly online delivery,Zomato,1000+,Breakfast,"I usually don't leave feedback, but The stellar user interface. Highly recommended.",
4/8/2026 14:39:22,26-30,Dominos,Costa Coffee,2-3 times a month,50-50 both,Magicpin,1000+,Lunch,okay,
4/8/2026 14:39:36,26-30,Taco Bell,Costa Coffee,Daily,Mostly offline,Swiggy,₹200-500,Breakfast,"I usually don't leave feedback, but The wonderful customer support. Best I've used so far.",
4/8/2026 14:39:40,21-25,McDonalds,Tim Hortons,2-3 times a month,50-50 both,Swiggy,"₹500-1,000",Evening snacks,nothing,
4/8/2026 14:39:41,26-30,Pizza Hut,Costa Coffee,3-5 times a week,50-50 both,Zepto Cafe,"₹500-1,000",Night,Great job guys! The perfect real-time order tracking! Keep it up!,
4/8/2026 14:39:42,21-25,Wendy's,Costa Coffee,Rarely,50-50 both,Swiggy,"₹500-1,000",Lunch,Absolutely fantastic experience. The outstanding ease of ordering. 5/5 stars from me.,
4/8/2026 14:39:56,21-25,Pizza Hut,Barista,3-5 times a week,50-50 both,Zepto Cafe,₹200-500,Lunch,,
4/8/2026 14:40:00,18-21,Subway,Cafe Coffee Day (CCD),Weekly,Mostly online delivery,Zomato,₹200-500,Lunch,Absolutely fantastic experience. The perfect app design,
4/8/2026 14:40:02,Under 18,McDonalds,Tim Hortons,3-5 times a week,Mostly online delivery,Zepto Cafe,1000+,Night,perfect,
4/8/2026 14:40:03,Above 30,Taco Bell,Costa Coffee,2-3 times a month,Mostly online delivery,Zepto Cafe,₹200-500,Night,,
4/8/2026 14:40:19,Above 30,KFC,Chaayos,3-5 times a week,Mostly online delivery,Swiggy,₹200-500,Evening snacks,all good,
4/8/2026 14:40:23,18-21,KFC,Starbucks,Rarely,Mostly online delivery,Zomato,"₹500-1,000",Lunch,Great job guys! The fantastic overall delivery experience. Very satisfied.,
4/8/2026 14:40:23,18-21,McDonalds,Cafe Coffee Day (CCD),Daily,Mostly online delivery,Zomato,"₹500-1,000",Night,Great job guys! The brilliant restaurant selection,
4/8/2026 14:40:39,21-25,Pizza Hut,Local cafes,3-5 times a week,Mostly offline,Zomato,1000+,Night,not bad,
4/8/2026 14:40:43,18-21,Dominos,Starbucks,2-3 times a month,Mostly offline,Magicpin,1000+,Lunch,"Just wanted to say, The superb restaurant selection. 5/5 stars from me.",
4/8/2026 14:40:58,Above 30,Local fast food joints,Barista,Daily,Mostly online delivery,Magicpin,₹200-500,Evening snacks,"I usually don't leave feedback, but The superb delivery speed. Thank you!",
4/8/2026 14:40:59,26-30,Wendy's,Barista,Daily,Mostly online delivery,Direct from restaurant app,"₹500-1,000",Lunch,Great job guys! The really good overall delivery experience. Highly recommended.,
4/8/2026 14:41:03,21-25,Subway,Local cafes,Weekly,50-50 both,Zomato,1000+,Breakfast,fine,
4/8/2026 14:41:06,Under 18,Wendy's,Local cafes,Rarely,Mostly offline,Swiggy,1000+,Night,no comment,
4/8/2026 14:41:17,21-25,Taco Bell,Chaayos,2-3 times a month,Mostly offline,Magicpin,₹200-500,Breakfast,fine,
4/8/2026 14:41:19,26-30,Pizza Hut,Costa Coffee,3-5 times a week,Mostly online delivery,Magicpin,₹200-500,Evening snacks,all good,
4/8/2026 14:41:25,26-30,McDonalds,Chaayos,Daily,Mostly offline,Magicpin,1000+,Evening snacks,nice app,
4/8/2026 14:41:36,Under 18,Pizza Hut,Costa Coffee,Rarely,50-50 both,Zepto Cafe,₹200-500,Lunch,Really perfect user interface. Will definitely order again.,
4/8/2026 14:41:39,Under 18,Burger King,Local cafes,3-5 times a week,50-50 both,Magicpin,1000+,Breakfast,I'm very impressed. The outstanding customer support. Thank you!,
4/8/2026 14:41:46,Above 30,Burger King,Tim Hortons,2-3 times a month,50-50 both,Zomato,₹200-500,Breakfast,,
4/8/2026 14:41:50,26-30,Taco Bell,Tim Hortons,Weekly,Mostly online delivery,Zomato,"₹500-1,000",Evening snacks,cool,
4/8/2026 14:41:57,21-25,Burger King,Cafe Coffee Day (CCD),Rarely,Mostly online delivery,Direct from restaurant app,₹200-500,Night,no comment,
4/8/2026 14:42:01,26-30,McDonalds,Starbucks,2-3 times a month,Mostly offline,Direct from restaurant app,₹200-500,Evening snacks,So far so good! The excellent customer support. 5/5 stars from me.,
4/8/2026 14:42:10,21-25,Wendy's,Tim Hortons,Rarely,Mostly offline,Direct from restaurant app,"₹500-1,000",Breakfast,"I usually don't leave feedback, but The really good overall delivery experience! Keep it up!",
4/8/2026 14:42:17,26-30,Subway,Tim Hortons,3-5 times a week,50-50 both,Zomato,₹200-500,Lunch,So far so good! The brilliant customer support. Thank you!,
4/8/2026 14:42:21,26-30,Burger King,Cafe Coffee Day (CCD),Weekly,50-50 both,Zomato,"₹500-1,000",Night,decent,
4/8/2026 14:42:30,Above 30,Subway,Starbucks,Rarely,Mostly offline,Magicpin,1000+,Evening snacks,not bad,
4/8/2026 14:42:32,Under 18,Subway,Starbucks,3-5 times a week,Mostly offline,Swiggy,₹200-500,Breakfast,perfect,
4/8/2026 14:42:37,Under 18,Local fast food joints,Tim Hortons,Rarely,Mostly online delivery,Magicpin,"₹500-1,000",Night,looks good,
4/8/2026 14:42:44,26-30,Taco Bell,Starbucks,Rarely,Mostly offline,Magicpin,"₹500-1,000",Night,So far so good! The outstanding service reliability,
4/8/2026 14:42:50,21-25,Local fast food joints,Barista,Rarely,Mostly offline,Magicpin,₹200-500,Evening snacks,n/a,
4/8/2026 14:42:53,Above 30,McDonalds,Tim Hortons,Weekly,50-50 both,Magicpin,"₹500-1,000",Evening snacks,,
4/8/2026 14:42:58,18-21,Pizza Hut,Cafe Coffee Day (CCD),2-3 times a month,Mostly offline,Zepto Cafe,₹200-500,Breakfast,"Wow, this is great. The really good delivery speed. Looking forward to more.",
4/8/2026 14:43:04,26-30,Pizza Hut,Costa Coffee,Rarely,Mostly offline,Zepto Cafe,₹200-500,Night,all good,
4/8/2026 14:43:10,21-25,Dominos,Tim Hortons,Daily,50-50 both,Direct from restaurant app,"₹500-1,000",Breakfast,This has been an amazing journey! The wonderful real-time order tracking. Looking forward to more.,
4/8/2026 14:43:13,18-21,Burger King,Tim Hortons,Rarely,Mostly online delivery,Zepto Cafe,₹200-500,Lunch,,
4/8/2026 14:43:19,Under 18,Dominos,Costa Coffee,2-3 times a month,Mostly offline,Magicpin,1000+,Night,,
